robot_id,ip,site,place,status
c93e576b-eb2f-5e98-822f-57b2e6f525da,172.18.0.4,1720904844326x838139993909442300,boston-unloader-unloader2,active
c93e576b-eb2f-5e98-822f-57b2e6f525da,172.18.0.3,1720904844326x838139993909442300,boston-unloader-unloader3,active
c93e576b-eb2f-5e98-822f-57b2e6f525da,172.18.0.2,1720904844326x838139993909442300,boston-unloader-unloader4,active
e07112f2-74f0-5535-812f-1ae53c16c3f0,172.18.0.2,1720904844326x838139993909442300,boston-unloader-unloader5,active
e07112f2-74f0-5535-812f-1ae53c16c3f0,172.19.0.2,1720904844326x838139993909442300,boston-unloader-unloader9,active
e07112f2-74f0-5535-812f-1ae53c16c3f0,172.18.0.2,1720904844326x838139993909442300,boston-unloader-unloader8,active
b007a4d1-7484-4d3b-8564-6bde1cf7d41a,10.20.5.187,1720904844326x838139993909442300,boston-unloader-unloader10,active
6f1929ea-492f-5ce6-9394-8617026409cb,172.20.10.5,1720904844326x838139993909442300,boston-unloader-unloader11,active
fb4c990d-96b6-5103-b353-fc728e6ff5da,192.168.251.235,1720904844326x838139993909442300,boston-unloader-unloader12,active
3da86043-2aba-5345-bce5-1b7c55f656c0,100.64.2.97,1720904844326x838139993909442300,boston-unloader-unloader13,active
3da86043-2aba-5345-bce5-1b7c55f656c0,192.168.251.235,1720904844326x838139993909442300,boston-unloader-unloader14,active
20e73d56-16a8-5b56-9173-a162b71ebe43,192.168.251.235,1720904844326x838139993909442300,boston-unloader-unloader1,active
2bafb176-ff3c-59b9-80f7-c95b46dac2ac,192.168.249.209,1720904844326x838139993909442300,boston-unloader-unloader15,active
2bafb176-ff3c-59b9-80f7-c95b46dac2ac,192.168.249.209,1720904844326x838139993909442300,boston-unloader-unloader17,active
caf0754f-8ed9-5c70-b1fb-b00ed3fd1d1b,172.19.0.3,1720904844326x838139993909442300,boston-unloader-unloader18,active
